,id,year,bdeadlow,bdeadhig,bdeadbes,annualdata,source,bdversion,location,sidea,sidea2nd,sideb,sideb2nd,incomp,terr,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,gwnoa,gwnoa2nd,gwnob,gwnob2nd,gwnoloc,region,version,decade,Length_Battle
0,1,1946,1000,9999,1000.0,2,1,3,BOLIVIA,BOLIVIA,,POPULAR REVOLUTIONARY MOVEMENT,,2,,2,1,3,1946-06-01,4,6/1/46,4,1,1946-07-21,,145,,,,145.0,Americas,2009-4,1940,50.0
1,1,1952,450,3000,1725.0,2,1,3,BOLIVIA,BOLIVIA,,MNR,,2,,1,1,3,1946-06-01,4,4/9/52,1,1,1952-04-12,,145,,,,145.0,Americas,2009-4,1950,2142.0
2,1,1967,25,999,82.0,2,1,3,BOLIVIA,BOLIVIA,,ELN,,2,,1,1,3,1946-06-01,4,3/1/67,3,1,1967-10-16,,145,,,,145.0,Americas,2009-4,1960,7807.0
3,2,1946,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1940,
4,2,1947,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1940,
5,2,1948,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1940,
6,2,1949,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1940,
7,2,1950,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1950,
8,2,1951,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1950,
9,2,1952,25,999,512.0,0,0,3,CAMBODIA,FRANCE,,KHMER ISSARAK,,1,Cambodia,1,0,1,1946-08-01,3,8/1/46,3,0,,,220,,,,811.0,Asia,2009-4,1950,
